X,Y,Fmol_err,Surftot_err,NewX,NewY,Radius
1,5,,,-27,-23,6.159004913593076
2,5,,,-26,-23,6.02786827796446
3,5,,,-25,-23,5.898928530379979
4,5,,,-24,-23,5.772332891975795
5,5,,,-23,-23,5.648238982572753
6,5,,,-22,-23,5.526815319145143
7,5,,,-21,-23,5.408241758541721
8,5,,,-20,-23,5.292709858375535
9,5,,,-19,-23,5.180423124636712
10,5,,,-18,-23,5.071597108880998
11,5,,,-17,-23,4.966459312081746
12,5,,,-16,-23,4.865248846824896
13,5,,,-15,-23,4.768215805069288
14,5,,,-14,-23,4.675620275974967
15,5,,,-13,-23,4.587730958297139
16,5,,,-12,-23,4.504823315685294
17,5,,,-11,-23,4.427177232117525
18,5,,,-10,-23,4.35507413976293
19,5,,,-9,-23,4.288793613628191
20,5,,,-8,-23,4.228609456662814
21,5,,,-7,-23,4.174785334945078
22,5,,,-6,-23,4.127570063364266
23,5,,,-5,-23,4.087192684753606
24,5,,,-4,-23,4.053857525350389
25,5,,,-3,-23,4.027739441497011
26,5,,,-2,-23,4.008979491161738
27,5,,,-1,-23,3.9976812643999384
28,5,,,0,-23,3.9939080863393994
29,5,,,1,-23,3.9976812643999384
30,5,,,2,-23,4.008979491161738
31,5,,,3,-23,4.027739441497011
32,5,,,4,-23,4.053857525350389
33,5,,,5,-23,4.087192684753606
34,5,,,6,-23,4.127570063364266
35,5,,,7,-23,4.174785334945078
36,5,,,8,-23,4.228609456662814
37,5,,,9,-23,4.288793613628191
38,5,,,10,-23,4.35507413976293
39,5,,,11,-23,4.427177232117525
40,5,,,12,-23,4.504823315685294
41,5,,,13,-23,4.587730958297139
42,5,,,14,-23,4.675620275974967
43,5,,,15,-23,4.768215805069288
44,5,,,16,-23,4.865248846824896
45,5,,,17,-23,4.966459312081746
46,5,,,18,-23,5.071597108880998
47,5,,,19,-23,5.180423124636712
48,5,,,20,-23,5.292709858375535
49,5,,,21,-23,5.408241758541721
50,5,,,22,-23,5.526815319145143
51,5,,,23,-23,5.648238982572753
52,5,,,24,-23,5.772332891975795
53,5,,,25,-23,5.898928530379979
54,5,,,26,-23,6.02786827796446
55,5,,,27,-23,6.159004913593076
0,6,,,-28,-22,6.183435810432103
1,6,,,-27,-22,6.0478446981835265
2,6,,,-26,-22,5.914243818458381
3,6,,,-25,-22,5.782771115495912
4,6,,,-24,-22,5.653575062159216
5,6,,,-23,-22,5.526815319145143
6,6,,,-22,-22,5.402663374634807
7,6,,,-21,-22,5.2813031428348625
8,6,,,-20,-22,5.162931494086331
9,6,,,-19,-22,5.0477586826188245
10,6,,,-18,-22,4.936008630715006
11,6,,,-17,-22,4.827919020266022
12,6,,,-16,-22,4.723741134864814
13,6,,,-15,-22,4.623739388351758
14,6,,,-14,-22,4.528190470021239
15,6,,,-13,-22,4.437382033744776
16,6,,,-12,-22,4.3516108595811716
17,6,,,-11,-22,4.27118042375439
18,6,,,-10,-22,4.196397827960877
19,6,,,-9,-22,4.127570063364266
20,6,,,-8,-22,4.064999619269492
21,6,,,-7,-22,4.008979491161738
22,6,,,-6,-22,3.9597876957816602
23,6,,,-5,-22,3.9176814584631976
24,6,,,-4,-22,3.8828912943221727
25,6,,,-3,-22,3.8556152526248773
26,6,,,-2,-22,3.8360136246158416
27,6,,,-1,-22,3.82420442176111
28,6,,,0,-22,3.820259908672469
29,6,,,1,-22,3.82420442176111
30,6,,,2,-22,3.8360136246158416
31,6,,,3,-22,3.8556152526248773
32,6,,,4,-22,3.8828912943221727
33,6,,,5,-22,3.9176814584631976
34,6,,,6,-22,3.9597876957816602
35,6,,,7,-22,4.008979491161738
36,6,,,8,-22,4.064999619269492
37,6,,,9,-22,4.127570063364266
38,6,,,10,-22,4.196397827960877
39,6,,,11,-22,4.27118042375439
40,6,,,12,-22,4.3516108595811716
41,6,,,13,-22,4.437382033744776
42,6,,,14,-22,4.528190470021239
43,6,,,15,-22,4.623739388351758
44,6,,,16,-22,4.723741134864814
45,6,,,17,-22,4.827919020266022
46,6,,,18,-22,4.936008630715006
47,6,,,19,-22,5.0477586826188245
48,6,,,20,-22,5.162931494086331
49,6,,,21,-22,5.2813031428348625
50,6,,,22,-22,5.402663374634807
51,6,,,23,-22,5.526815319145143
52,6,,,24,-22,5.653575062159216
53,6,,,25,-22,5.782771115495912
54,6,,,26,-22,5.914243818458381
55,6,,,27,-22,6.0478446981835265
0,7,,,-28,-21,6.077686218342564
1,7,,,-27,-21,5.939681543672491
2,7,,,-26,-21,5.803591240867174
3,7,,,-25,-21,5.66955316767652
4,7,,,-24,-21,5.537716346145369
5,7,,,-23,-21,5.408241758541721
6,7,,,-22,-21,5.2813031428348625
7,7,,,-21,-21,5.157087766696861
8,7,,,-20,-21,5.035797152340982
9,7,,,-19,-21,4.917647716627408
10,7,,,-18,-21,4.802871281784476
11,7,,,-17,-21,4.691715401976494
